#TYPE Selected.System.__ComObject
"Title","Description"
"Update for Windows 7 for x64-based Systems (KB2603229)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Update for Microsoft Office 2010 File Validation (KB2413186), 32-Bit Edition","This update provides the latest file validation filter definitions for Microsoft Office 2010, 32-Bit Edition."
"Update for Windows 7 for x64-based Systems (KB2529073)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 SP1 for x64-based Systems (KB2572077)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Microsoft .NET Framework 4 on Windows XP, Windows Server 2003, Windows Vista, Windows 7, Windows Server 2008, Windows Server 2008 R2 for x64-based Systems (KB2518870)","A security issue has been identified that could allow an attacker to compromise your Windows-based system that is running the Microsoft .NET Framework and gain complete control over it. You can help protect your computer by installing this update from Microsoft. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2532531)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Microsoft .NET Framework 4 on Windows XP, Windows Server 2003, Windows Vista, Windows 7, Windows Server 2008, Windows Server 2008 R2 for x64-based Systems (KB2539636)","A security issue has been identified that could allow an attacker to compromise your Windows-based system that is running the Microsoft .NET Framework and gain access to information. You can help protect your computer by installing this update from Microsoft. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB982018)","This is a reliability update. This update resolves some performance and reliability issues in Windows. By applying this update, you can achieve better performance and responsiveness in various scenarios. For more information please see the Knowledge Base article. After you install this item, you may have to restart your computer."
"Update for Microsoft .NET Framework 4 on Windows XP, Windows Server 2003, Windows Vista, Windows 7, Windows Server 2008, Windows Server 2008 R2 for x64-based Systems (KB2533523)","This update addresses stability, reliability, and performance issues in Microsoft .NET Framework 4. After you install this item, you may have to restart your computer."
"Update for Internet Explorer 8 Compatibility View List for Windows 7 for x64-based Systems (KB2598845)","This Compatibility View List update helps make Web sites that are designed for older browsers look better in Internet Explorer 8. When users install Internet Explorer 8, they will be given a choice about opting-in to a list of sites that should be displayed in Compatibility View. After you install this item, you may have to restart Internet Explorer."
"Security Update for Windows 7 for x64-based Systems (KB2387149)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2506014)","An issue has been identified that could allow a user with administrative permissions to load an unsigned driver. This update resolves that issue. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB974571)","A security issue has been identified that could allow an attacker to misrepresent a system action or behavior without the knowledge of the user. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2532531)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2567680)","A security issue has been identified that could allow an authenticated local attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Cumulative Security Update for Internet Explorer 8 for Windows 7 for x64-based Systems (KB2618444)","Security issues have been identified that could allow an attacker to compromise a system that is running Microsoft Internet Explorer and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB980408)","Install this update to resolve reliability issues with Windows 7 and Server 2008 R2. For complete details of this update, see the Knowledge Base Article. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2536275)","A security issue has been identified that could allow an unauthenticated remote attacker to cause the affected system to stop responding. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2488113)","This is a reliability update. This update resolves some performance and reliability issues in Windows. By applying this update, you can achieve better performance and responsiveness in various scenarios. For more information please see the Knowledge Base article. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB975560)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2579686)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2079403)","A security issue has been identified that could allow an authenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2423089)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2393802)","A security issue has been identified that could allow an authenticated local attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2419640)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2633952)","Install this update to resolve issues caused by revised daylight saving time and time zone laws in several countries. This update enables your computer to automatically adjust the computer clock on the correct date in 2012. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2619339)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2345886)","Install this update to help strengthen authentication credentials in specific scenarios. After you install this item, you may have to restart your computer."
"Windows Update Agent 7.4.7600.226","The Windows Update Agent enables your computer to search for and install updates from an update service.  The agent can automatically update itself as needed to communicate with the update service when Windows searches for new updates."
"Update for Windows 7 for x64-based Systems (KB979538)","Install this update to prevent unexpected shutdowns or bluescreens when you are using a USB video device. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2556532)","A security issue has been identified that could allow an authenticated local attacker to cause the affected system to stop responding. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2564958)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2491683)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2506928)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2483614)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2544893)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain access to information. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2511455)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2442962)","A security issue has been identified that could allow an authenticated local attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2639417)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Microsoft .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2539634)","A security issue has been identified that could allow an attacker to compromise your Windows-based system that is running the Microsoft .NET Framework and gain access to information. You can help protect your computer by installing this update from Microsoft. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB977074)","This is a reliability update. This update resolves some reliability issues in Windows 7. By applying this update, you can achieve better reliability in various scenarios. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2522422)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2467023)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2506212)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB982799)","A security issue has been identified that could allow an authenticated local attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2603229)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB976422)","Install this update to support Secure Digital (SD) cards that are larger than 32 GB. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2264107)","This update helps protect against DLL preloading vulnerabilities in software applications on the Windows platform. It implements new functionality which allows the administrator to more closely control how applications load external libraries. We recommend that administrators test this update thoroughly before you deploy to a production environment. For more information about the changes this update implements and how to configure it appropriately, please review the KB article associated with this download. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2545698)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2570947)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2607576)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2588516)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2510531)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2296011)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2207566)","A security issue has been identified that could allow an unauthenticated remote attacker to cause the affected system to stop responding. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB975496)","Install this update to resolve the issue in which a computer stops responding during shutdown if BitLocker is enabled on the system drive on a computer that is running Windows 7 or Windows Server 2008 R2. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB982665)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2541014)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Security Update for .NET Framework 3.5.1 on Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB2518867)","A security issue has been identified that could allow an attacker to compromise your Windows-based system that is running the Microsoft .NET Framework and gain complete control over it. You can help protect your computer by installing this update from Microsoft. After you install this item, you may have to restart your computer."
"Security Update for Microsoft .NET Framework 3.5.1, Windows 7, and Windows Server 2008 R2 for x64-based Systems (KB2416471)","A security issue has been identified that could allow an attacker to compromise your Windows-based system that is running the Microsoft .NET Framework and gain access to information. You can help protect your computer by installing this update from Microsoft. After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2032276)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2509553)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2385678)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Microsoft .NET Framework 3.5 SP1 Update for Windows 7 and Windows Server 2008 R2 for x64-based Systems (KB982526)","This update addresses a set of known issues of the Microsoft .NET Framework 3.5 Service Pack 1. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2524375)","Install this update to resolve an issue which requires an update to the certificate revocation list on Windows systems and to keep your systems certificate list up to date. After you install this update, you may have to restart your system."
"Update for Windows 7 for x64-based Systems (KB2492386)","Install this update to resolve a set of known application compatibility issues with Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2484033)","Install this update to resolve issues in Windows. For a complete listing of the issues that are included in this update, see the associated Microsoft Knowledge Base article for more information. After you install this item, you may have to restart your computer."
"Update for Windows 7 for x64-based Systems (KB2454826)","This is a reliability update. Install this update to enable a set of performance and functionality updates for graphics, Media Foundation, and XPS components on Windows 7 and Windows Server 2008 R2 systems.  After you install this item, you may have to restart your computer."
"Security Update for Windows 7 for x64-based Systems (KB2507618)","A security issue has been identified that could allow an unauthenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Security Update for Windows 7 for x64-based Systems (KB2347290)","A security issue has been identified that could allow an authenticated remote attacker to compromise your system and gain control over it. You can help protect your system by installing this update from Microsoft. After you install this update, you may have to restart your system."
"Office 2003 Service Pack 3 (SP3)","Microsoft Office 2003 Service Pack 3 (SP3) contains significant security enhancements, in addition to stability improvements. Some of the fixes included with SP3 have been previously released as separate updates. This service pack combines them into one update."
"Update for Microsoft Office 2003 (KB2543854)","Microsoft has released an update for Microsoft Office 2003.  This update decreases installation failures for updates installed on Microsoft Office 2003."
"Update for Office 2003 (KB907417)","Microsoft has released an update for Microsoft Office Excel 2003 and for Microsoft Office Word 2003. This update corrects a potential problem in which an add-in, a smart tag, or a smart document may not load if it uses the Microsoft .NET Framework 2.0."
"Update for Windows 7 for x64-based Systems (KB2779562)","Install this update to resolve issues caused by revised daylight saving time and time zone laws in several countries. This update enables your computer to automatically adjust the computer clock on the correct date in 2012. After you install this item, you may have to restart your computer."
